VALUE,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SEV_SOURCE,SEV_CONFIDENCE,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION,R,G,B,RED,GREEN,BLUE
-9999,2016,Fill-NoData,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,255,255,255
0,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,Background,0,0,0,0,0,0
11,2016,Fire,High,Unburned/Low,MTBS,High,MTBS,NA,NA,NA,MTBS mapped fire.,255,0,0,1,0,0
12,2016,Fire,High,Low,MTBS,High,MTBS,NA,NA,NA,MTBS mapped fire.,255,0,0,1,0,0
13,2016,Fire,High,Medium,MTBS,High,MTBS,NA,NA,NA,MTBS mapped fire.,255,0,0,1,0,0
14,2016,Fire,High,High,MTBS,High,MTBS,NA,NA,NA,MTBS mapped fire.,255,0,0,1,0,0
15,2016,Fire,High,Increased Green,MTBS,High,MTBS,NA,NA,NA,MTBS mapped fire.,255,0,0,1,0,0
16,2016,Water,High,NA,NA,NA,LANDFIRE Water Mask,NA,NA,NA,Water body or other non-mappable land cover type.,0,0,255,0,0,1
21,2016,Fire,High,Unburned/Low,BARC,High,BARC,NA,NA,NA,BARC mapped fire.,255,0,0,1,0,0
22,2016,Fire,High,Low,BARC,High,BARC,NA,NA,NA,BARC mapped fire.,255,0,0,1,0,0
23,2016,Fire,High,Medium,BARC,High,BARC,NA,NA,NA,BARC mapped fire.,255,0,0,1,0,0
24,2016,Fire,High,High,BARC,High,BARC,NA,NA,NA,BARC mapped fire.,255,0,0,1,0,0
25,2016,Water,High,NA,NA,NA,BARC,NA,NA,NA,BARC mapped water body.,0,0,255,0,0,1
31,2016,Fire,High,Unburned/Low,RAVG,High,RAVG,NA,NA,NA,RAVG mapped fire.,255,0,0,1,0,0
32,2016,Fire,High,Low,RAVG,High,RAVG,NA,NA,NA,RAVG mapped fire.,255,0,0,1,0,0
33,2016,Fire,High,Medium,RAVG,High,RAVG,NA,NA,NA,RAVG mapped fire.,255,0,0,1,0,0
34,2016,Fire,High,High,RAVG,High,RAVG,NA,NA,NA,RAVG mapped fire.,255,0,0,1,0,0
111,2016,Fire,High,Unburned/Low,MTBS,Medium,Decision Tree Modeled,MTBS,NA,NA,MTBS gap (value = 6) filled with See5 classified output.,255,0,0,1,0,0
112,2016,Fire,High,Low,MTBS,Medium,Decision Tree Modeled,MTBS,NA,NA,MTBS gap (value = 6) filled with See5 classified output.,255,0,0,1,0,0
113,2016,Fire,High,Medium,MTBS,Medium,Decision Tree Modeled,MTBS,NA,NA,MTBS gap (value = 6) filled with See5 classified output.,255,0,0,1,0,0
