VALUE,NVC_NAME,LFRDB,LFLIFEFORM,NVC_CLASS,NVC_SUBCLASS,NVC_FORMATION,NVC_DIVISION,CLASS,SUBCLASS,FORMATION,DIVISION_CODE,DIVISION,MACROGROUP_CODE,MACROGROUP,Group_Code,GROUP,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,-9999,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,255,255,255,1,1,1
4500,Alaskan Boreal Dry Aspen Forest,4500,Tree,1,1.B,1.B.4,1.B.4.Na,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.4 Boreal Forest & Woodland Formation,D014,1.B.4.Na North American Boreal Forest & Woodland Division,M156,Alaskan-Yukon North American Boreal Forest Macrogroup,G349,Alaskan-Yukon Boreal Dry Aspen Forest Group,192,255,138,0.752941,1,0.541176
4501,Alaskan Maritime Western Hemlock-Sitka Spruce Rainforest,4501,Tree,1,1.B,1.B.2,1.B.2.Nd,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.2 Cool Temperate Forest & Woodland Formation,D192,1.B.2.Nd Vancouverian Forest & Woodland Division,M024,Vancouverian Coastal Rainforest Macrogroup,G750,Alaskan Maritime Western Hemlock-Sitka Spruce Rainforest Group,4,45,117,0.015686,0.176471,0.458824
4502,Alaskan Mountain Hemlock Forest,4502,Tree,1,1.B,1.B.2,1.B.2.Nd,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.2 Cool Temperate Forest & Woodland Formation,D192,1.B.2.Nd Vancouverian Forest & Woodland Division,M025,Vancouverian Subalpine-High Montane Forest Macrogroup,G850,Alaskan Mountain Hemlock Forest Group,0,92,0,0,0.360784,0
4503,Alaskan Pacific Riparian Forest & Woodland,4503,Tree,1,1.B,1.B.3,1.B.3.Ng,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.3 Temperate Flooded & Swamp Forest Formation,D193,1.B.3.Ng Vancouverian Flooded & Swamp Forest Division,M035,Vancouverian Flooded & Swamp Forest Macrogroup,G852,Alaskan Pacific Riparian Forest & Woodland Group,18,76,135,0.070588,0.298039,0.529412
4504,Alaskan Pacific Swamp Forest,4504,Tree,1,1.B,1.B.3,1.B.3.Ng,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.3 Temperate Flooded & Swamp Forest Formation,D193,1.B.3.Ng Vancouverian Flooded & Swamp Forest Division,M035,Vancouverian Flooded & Swamp Forest Macrogroup,G854,Alaskan Pacific Swamp Forest Group,79,36,26,0.309804,0.141176,0.101961
4505,Alaskan-Yukon Boreal Black Spruce Wet Forest,4505,Tree,1,1.B,1.B.5,1.B.5.Na,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.5 Boreal Flooded & Swamp Forest Formation,D016,1.B.5.Na North American Boreal Flooded & Swamp Forest Division,M299,North American Boreal Conifer Poor Swamp Macrogroup,G546,Alaskan-Yukon Boreal Black Spruce Wet Forest Group,79,36,26,0.309804,0.141176,0.101961
4506,Alaskan-Yukon Boreal Flooded & Rich Swamp,4506,Tree,1,1.B,1.B.5,1.B.5.Na,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.5 Boreal Flooded & Swamp Forest Formation,D016,1.B.5.Na North American Boreal Flooded & Swamp Forest Division,M300,North American Boreal Flooded & Rich Swamp Forest Macrogroup,G548,Alaskan-Yukon Boreal Flooded & Rich Swamp Group,182,250,255,0.713725,0.980392,1
4507,Alaskan-Yukon Boreal Montane Alder-Willow Shrubland,4507,Shrub,2,2.B,2.B.3,2.B.3.Na,2 Shrub & Herb Vegetation Class,2.B Temperate & Boreal Grassland & Shrubland Subclass,2.B.3 Boreal Grassland & Shrubland Formation,D025,2.B.3.Na North American Boreal Grassland & Shrubland Division,M055,North American Boreal Shrubland & Grassland Macrogroup,G357,Western Boreal Mesic Alder-Willow Shrubland Group,146,237,224,0.572549,0.929412,0.878431
4508,Alaska-Yukon Northern Boreal Mesic Woodland,4508,Tree,1,1.B,1.B.4,1.B.4.Na,1 Forest & Woodland Class,1.B Temperate & Boreal Forest & Woodland Subclass,1.B.4 Boreal Forest & Woodland Formation,D014,1.B.4.Na North American Boreal Forest & Woodland Division,M156,Alaskan-Yukon North American Boreal Forest Macrogroup,G579,Central Alaskan-Yukon Boreal Mesic Forest Group,159,255,128,0.623529,1,0.501961
