VALUE,CC_PERCENT,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,255,255,255,1,1,1
0,Non-Forested,176,176,176,0.690196,0.690196,0.690196
15,Tree Cover >= 10 and < 20%,234,255,191,0.917647,1,0.74902
25,Tree Cover >= 20 and < 30%,187,230,149,0.733333,0.901961,0.584314
35,Tree Cover >= 30 and < 40%,140,201,109,0.54902,0.788235,0.427451
45,Tree Cover >= 40 and < 50%,98,176,74,0.384314,0.690196,0.290196
55,Tree Cover >= 50 and < 60%,59,153,43,0.231373,0.6,0.168627
65,Tree Cover >= 60 and < 70%,0,128,0,0,0.501961,0
75,Tree Cover >= 70 and < 80%,15,92,11,0.058824,0.360784,0.043137
85,Tree Cover >= 80 and < 90%,17,61,12,0.066667,0.239216,0.047059
95,Tree Cover >= 90 and <= 100%,16,36,12,0.062745,0.141176,0.047059
