Value,FBFM13,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,255,255,255,1,1,1
1,FBFM1,255,255,190,1,1,0.745098
2,FBFM2,255,255,0,1,1,0
3,FBFM3,230,197,11,0.901961,0.772549,0.043137
4,FBFM4,255,211,127,1,0.827451,0.498039
5,FBFM5,255,170,102,1,0.666667,0.4
6,FBFM6,205,170,102,0.803922,0.666667,0.4
7,FBFM7,137,112,68,0.537255,0.439216,0.266667
8,FBFM8,211,255,190,0.827451,1,0.745098
9,FBFM9,112,168,0,0.439216,0.658824,0
10,FBFM10,38,115,0,0.14902,0.45098,0
11,FBFM11,232,190,255,0.909804,0.745098,1
12,FBFM12,122,142,245,0.478431,0.556863,0.960784
13,FBFM13,197,0,255,0.772549,0,1
91,Urban,132,0,138,0.517647,0,0.541176
92,Snow/Ice,159,161,240,0.623529,0.631373,0.941176
93,Agriculture,233,115,255,0.913725,0.45098,1
98,Water,0,0,255,0,0,1
99,Barren,191,191,191,0.74902,0.74902,0.74902
