VALUE,FCCS,FCCSID,FCCS_REG,FUELBED,R,G,B,RED,GREEN,BLUE
-9999,-9999,-9999,Fill-NoData,Fill-NoData,255,255,255,1,1,1
0,0,0,All,Bare Ground,191,191,191,0.74902,0.74902,0.74902
1,1,1,Pacific Northwest,Black cottonwood-Douglas-fir-quaking aspen forest,67,162,181,0.262745,0.635294,0.709804
2,2,2,Pacific Northwest,Western hemlock-western redcedar-Douglas-fir forest,0,82,0,0,0.321569,0
3,3,3,Pacific Northwest,Douglas-fir forest,0,51,0,0,0.2,0
4,4,4,Pacific Northwest,Douglas-fir/ceanothus forest,0,51,0,0,0.2,0
5,5,5,Pacific Northwest,Douglas-fir-white fir forest,0,51,0,0,0.2,0
6,6,6,Pacific Northwest,Oregon white oak-Douglas-fir forest,203,255,171,0.796078,1,0.670588
7,7,7,Pacific Northwest,Douglas-fir-sugar pine-tanoak forest,0,51,0,0,0.2,0
8,8,8,Pacific Northwest,Western hemlock-Douglas-fir-western redcedar/vine maple forest,0,82,0,0,0.321569,0
9,9,9,Pacific Northwest,Douglas-fir-western hemlock-western redcedar/vine maple forest,0,51,0,0,0.2,0
10,10,10,Pacific Northwest,Western hemlock-Douglas-fir-Sitka spruce forest,0,82,0,0,0.321569,0
11,11,11,Pacific Northwest,Douglas-fir/western hemlock-Sitka spruce forest,0,51,0,0,0.2,0
12,12,12,Sierra Nevada,Red fir-mountain hemlock-lodgepole pine-western white pine forest,255,59,127,1,0.231373,0.498039
13,13,13,Pacific Northwest,Mountain hemlock-Pacific silver fir forest,0,92,0,0,0.360784,0
14,14,14,Sierra Nevada,California black oak woodland,0,189,0,0,0.741176,0
15,15,15,Sierra Nevada,Jeffrey pine-red fir-white fir/greenleaf-snowbrush forest,167,70,0,0.654902,0.27451,0
16,16,16,Sierra Nevada,Jeffrey pine-ponderosa pine-Douglas-fir-California black oak forest,167,70,0,0.654902,0.27451,0
17,17,17,Sierra Nevada,Red fir forest,255,59,127,1,0.231373,0.498039
18,18,18,Pacific Northwest,Douglas-fir/oceanspray forest,0,51,0,0,0.2,0
19,19,19,Sierra Nevada,White fir-giant sequoia-sugar pine forest,0,204,0,0,0.8,0
20,20,20,Sierra Nevada,Western juniper/curl-leaf mountain mahogany woodland,0,82,0,0,0.321569,0
21,21,21,Rocky Mountain and Central US,Young lodgepole pine forest,163,240,219,1,0.231373,0.078431
22,22,22,Rocky Mountain and Central US,Mature lodgepole pine forest,25,93,145,0.098039,0.364706,0.568627
23,23,23,Rocky Mountain and Central US,Mature lodgepole pine forest with bark beetle damage,25,93,145,0.098039,0.364706,0.568627
24,24,24,Pacific Northwest,Pacific ponderosa pine-Douglas-fir forest,214,255,181,0.839216,1,0.709804
25,25,25,Southwest,Pinyon-Utah juniper forest,155,235,216,0.607843,0.921569,0.847059
26,26,26,Rocky Mountain and Central US,Interior ponderosa pine-limber pine forest,214,255,181,0.839216,1,0.709804
27,27,27,Southwest,Ponderosa pine-two needle pinyon-Utah juniper forest,214,255,181,0.839216,1,0.709804
28,28,28,Rocky Mountain and Central US,Ponderosa pine savanna,214,255,181,0.839216,1,0.709804
29,29,29,Southwest,Interior ponderosa pine-Engelmann spruce-Douglas-fir forest,214,255,181,0.839216,1,0.709804
30,30,30,Southwest,Turbinella oak-alderleaf mountain mahogany shrubland,89,59,40,0.34902,0.231373,0.156863
32,32,32,Southwest,Ponderosa pine/pinyon pine-Utah juniper forest,214,255,181,0.839216,1,0.709804
33,33,33,Southwest,Gambel oak/big sagebrush shrubland - 20-40 years post wildfire,245,175,54,0.960784,0.686275,0.211765
34,34,34,Southwest,Interior Douglas-fir-interior ponderosa pine/gambel oak forest,214,255,181,0.839216,1,0.709804
36,36,36,Sierra Nevada,California live oak-blue oak woodland,0,189,0,0,0.741176,0
37,37,37,Sierra Nevada,Ponderosa pine-Jeffrey pine forest,214,255,181,0.839216,1,0.709804
38,38,38,Pacific Northwest,Douglas-fir-madrone-tanoak forest,0,51,0,0,0.2,0
39,39,39,Pacific Northwest,Sugar pine-Douglas-fir-oak forest,159,255,128,0.623529,1,0.501961
40,40,40,Southwest,Tobosa-grama grassland invaded by shrubs & annual grasses,166,179,130,0.65098,0.701961,0.509804
41,41,41,Pacific Northwest,Idaho fescue-bluebunch wheatgrass grassland,255,191,102,1,0.74902,0.4
42,42,42,Rocky Mountain and Central US,Quaking aspen/Engelmann spruce forest,192,255,138,0.752941,1,0.541176
43,43,43,Southwest,Arizona white-gray-Emory oak woodland,0,189,0,0,0.741176,0
44,44,44,Sierra Nevada,Scrub oak chaparral shrubland,89,59,40,0.34902,0.231373,0.156863
45,45,45,Southwest,Madrean pine-oak forest,121,255,94,0.47451,1,0.368627
46,46,46,Sierra Nevada,Chamise chaparral shrubland,99,69,47,0.388235,0.270588,0.184314
47,47,47,Sierra Nevada,Redwood-tanoak forest,135,255,105,0.529412,1,0.411765
48,48,48,Sierra Nevada,Douglas-fir-tanoak-madrone-bay forest,0,51,0,0,0.2,0
49,49,49,Southwest,Creosote bush shrubland,74,44,29,0.290196,0.172549,0.113725
51,51,51,Sierra Nevada,Coastal sage shrubland,166,139,107,0.65098,0.545098,0.419608
52,52,52,Pacific Northwest,Douglas-fir-Pacific ponderosa pine/oceanspray forest,0,51,0,0,0.2,0
53,53,53,Pacific Northwest,Pacific ponderosa pine forest,214,255,181,0.839216,1,0.709804
54,54,54,Pacific Northwest,Douglas-fir-white fir-ponderosa pine forest,0,51,0,0,0.2,0
55,55,55,Southwest,Western juniper/sagebrush savanna,0,82,0,0,0.321569,0
56,56,56,Rocky Mountain and Central US,Sagebrush shrubland - exotic species,204,182,135,0.8,0.713725,0.529412
57,57,57,Rocky Mountain and Central US,Wheatgrass-cheatgrass grassland,255,176,92,1,0.690196,0.360784
58,58,58,Rocky Mountain and Central US,Western juniper/sagebrush savanna - post prescribed burn,0,82,0,0,0.321569,0
59,59,59,Rocky Mountain and Central US,Subalpine fir-Engelmann spruce-Douglas-fir-lodgepole pine forest,236,252,204,0.92549,0.988235,0.8
60,60,60,Rocky Mountain and Central US,Sagebrush shrubland - post prescribed burn,204,182,135,0.8,0.713725,0.529412
61,61,61,Rocky Mountain and Central US,Whitebark pine/subalpine fir forest,191,255,233,1,0.231373,0.078431
62,62,62,Pacific Northwest,Huckleberry-heather shrublands - 7 years post wildfire,140,112,80,0.54902,0.439216,0.313725
63,63,63,Pacific Northwest,Showy sedge-alpine black sedge grassland,128,97,69,0.501961,0.380392,0.270588
65,65,65,Sierra Nevada,Tussock grass-oatgrass grassland,255,73,28,1,0.286275,0.109804
66,66,66,Rocky Mountain and Central US,Bluebunch wheatgrass-bluegrass grassland,255,226,130,1,0.886275,0.509804
67,67,67,Rocky Mountain and Central US,Interior ponderosa pine-Douglas-fir forest,214,255,181,0.839216,1,0.709804
69,69,69,Rocky Mountain and Central US,Western juniper/sagebrush-bitterbrush shrubland,0,82,0,0,0.321569,0
70,70,70,Rocky Mountain and Central US,Subalpine fir-lodgepole pine-whitebark pine-Engelmann spruce forest,191,255,233,0.74902,1,0.913725
71,71,71,Hawaii,Ohia/Florida hopbush-kupaoa forest,60,113,126,0.235294,0.443137,0.494118
72,72,72,Hawaii,Ohia/uluhe forest,255,171,87,1,0.670588,0.341176
73,73,73,Hawaii,Koa/pukiawe forest,255,171,87,1,0.670588,0.341176
74,74,74,Hawaii,Mamani-naio savanna,82,52,34,0.321569,0.203922,0.133333
75,75,75,Hawaii,Slash pine/New Caledonia pine forest,116,214,204,0.454902,0.839216,0.8
76,76,76,Hawaii,Slash pine/molasses grass forest,116,214,204,0.454902,0.839216,0.8
77,77,77,Hawaii,Eucalyptus plantation forest,182,250,227,0.713725,0.980392,0.890196
78,78,78,Hawaii,Florida hopbush-Mauna Loa beggarticks shrubland,255,59,20,1,0.231373,0.078431
79,79,79,Hawaii,Pili grass-broomsedge bluestem grassland,182,250,227,0.713725,0.980392,0.890196
80,80,80,Hawaii,Fountain grass grassland,255,137,64,1,0.537255,0.25098
81,81,81,Hawaii,Pukiawe/Columbia bluestem grassland,182,250,227,0.713725,0.980392,0.890196
82,82,82,Hawaii,White leadtree/Guinea grass shrubland,255,59,20,1,0.231373,0.078431
83,83,83,Hawaii,Molasses grass grassland - invaded by exotic species,255,198,107,1,0.776471,0.419608
84,84,84,Hawaii,Ohia/Broomsedge bluestem savanna - invaded by exotic species,182,250,227,0.713725,0.980392,0.890196
85,85,85,Alaska,Black spruce/lichen forest,50,137,168,0.196078,0.537255,0.658824
86,86,86,Alaska,Black spruce/feathermoss woodland,50,137,168,0.196078,0.537255,0.658824
87,87,87,Alaska,Black spruce/feathermoss forest,50,137,168,0.196078,0.537255,0.658824
88,88,88,Alaska,Black spruce/sphagnum moss forest,50,137,168,0.196078,0.537255,0.658824
89,89,89,Alaska,Black spruce/cottonsedge woodland,50,137,168,0.196078,0.537255,0.658824
90,90,90,Rocky Mountain and Central US,White oak-northern red oak forest,85,187,194,1,0.231373,0.078431
91,91,91,Alaska,White spruce/prickly rose forest,159,255,128,1,0.231373,0.078431
92,92,92,Alaska,Quaking aspen-paper birch-white spruce-black spruce forest,255,105,46,1,0.411765,0.180392
93,93,93,Alaska,Paper birch-quaking aspen forest,192,255,138,0.752941,1,0.541176
94,94,94,Alaska,Balsam poplar-quaking aspen forest,182,250,227,0.713725,0.980392,0.890196
95,95,95,Alaska,Willow-mountain alder shrubland,73,171,186,1,0.231373,0.078431
97,97,97,Alaska,Cottongrass grassland,25,93,145,0.098039,0.364706,0.568627
98,98,98,Alaska,Marsh labrador tea-lingonberry tundra shrubland,82,52,34,0.321569,0.203922,0.133333
99,99,99,Alaska,Bluejoint reedgrass grassland,255,121,54,1,0.47451,0.211765
100,100,100,Alaska,Altai fescue grassland,255,198,107,1,0.776471,0.419608
101,101,101,Alaska,White spruce forest,159,255,128,1,0.231373,0.078431
102,102,102,Alaska,White spruce forest with beetle damage,159,255,128,1,0.231373,0.078431
103,103,103,Alaska,White spruce-paper birch forest,159,255,128,1,0.231373,0.078431
104,104,104,Alaska,White spruce-paper birch forest with beetle damage,159,255,128,1,0.231373,0.078431
105,105,105,Alaska,Paper birch-quaking aspen-white spruce forest,192,255,138,0.752941,1,0.541176
106,106,106,Northeast,Red spruce-balsam fir forest - post windthrow,255,106,46,1,0.415686,0.180392
107,107,107,Northeast,Pitch pine/scrub oak forest,116,214,204,0.454902,0.839216,0.8
109,109,109,Northeast,Eastern white pine-northern red oak-red maple forest,255,105,46,1,0.411765,0.180392
110,110,110,Northeast,American beech-yellow birch-sugar maple forest,0,92,0,0,0.360784,0
114,114,114,Southeast,Virginia pine-pitch pine-shortleaf pine forest,2,52,34,0.007843,0.203922,0.133333
115,115,115,Southeast,Rhododendron-blueberry-mountain laurel shrubland,145,255,115,0.568627,1,0.45098
120,120,120,Southeast,Oak-pine/mountain laurel forest,145,255,115,0.568627,1,0.45098
121,121,121,Southeast,Oak-pine/mountain laurel forest with beetle damage,145,255,115,0.568627,1,0.45098
123,123,123,Southeast,White oak-northern red oak-black oak-hickory forest,85,187,194,1,0.231373,0.078431
124,124,124,Northeast,Pitch pine-oak forest,116,214,204,0.454902,0.839216,0.8
125,125,125,Northeast,Oak-hickory-pine-eastern hemlock forest,0,71,0,0,0.278431,0
