VALUE,EVT_FUEL,EVT_FUEL_N,R,G,B,RED,GREEN,BLUE
-9999,-9999,Fill-NoData,255,255,255,1,1,1
11,11,Ba Open Water,0,0,255,0,0,1
12,12,Ba Snow-Ice,159,161,240,1,1,1
20,20,Bau Urban,52,52,52,0.20392,0.20392,0.20392
21,21,Bau Developed-Open Space,52,52,52,0.20392,0.20392,0.20392
22,22,Bau Developed-Low Intensity,255,122,143,1,0.47843,0.56078
23,23,Bau Developed-Medium Intensity,253,44,79,0.99215,0.17254,0.3098
24,24,Bau Developed-High Intensity,173,0,28,0.67843,0,0.1098
31,31,Bab Barren,191,191,191,0.74902,0.74902,0.74902
32,32,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,230,232,250,1,1,1
80,80,Da Agriculture,255,210,119,1,0.82352,0.46666
81,81,Dab Agriculture-Pasture and Hay,227,212,28,0.89019,0.83137,0.1098
82,82,Da Agriculture-Cultivated Crops and Irrigated Agriculture,250,255,119,0.98039,1,0.46666
2001,2001,Sps Inter-Mountain Basins Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2002,2002,Sps Mediterranean California Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2003,2003,Sps North Pacific Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2004,2004,Sps North American Warm Desert Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2005,2005,Sps Pacific Coastal Dunes and Other Sparsely Vegetated Systems,100,100,100,0,0,0
2006,2006,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2007,2007,Sps Western Great Plains Sparsely Vegetated Systems,100,100,100,0.39215,0.39215,0.39215
2008,2008,Tr North Pacific Oak Woodland,203,255,171,0.79607,1,0.67058
2009,2009,Tr Northwestern Great Plains Aspen Forest and Parkland,192,255,138,0.75294,1,0.54117
2010,2010,Tr Northern Rocky Mountain Western Larch Savanna,180,255,148,0.70588,1,0.58039
2011,2011,Tr Rocky Mountain Aspen Forest and Woodland,192,255,138,0.75294,1,0.54117
2012,2012,Tr Rocky Mountain Bigtooth Maple Ravine Woodland,171,255,138,0.67058,1,0.54117
2013,2013,Tr Western Great Plains Dry Bur Oak Forest and Woodland,6,53,122,0.02352,0.20784,0.47843
2014,2014,Tr Central and Southern California Mixed Evergreen Woodland,145,255,115,0.56862,1,0.45098
2015,2015,Tr California Coastal Redwood Forest,135,255,105,0.52941,1,0.41176
2016,2016,Tr Colorado Plateau Pinyon-Juniper Woodland,121,255,94,0.47451,1,0.36862
2017,2017,Tr Columbia Plateau Western Juniper Woodland and Savanna,108,255,82,0.42352,1,0.32156
2018,2018,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,96,255,71,0.37647,1,0.27843
2019,2019,Tr Great Basin Pinyon-Juniper Woodland,78,255,59,0.30588,1,0.23137
2020,2020,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,63,255,46,0.24705,1,0.18039
2021,2021,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,42,255,31,0.1647,1,0.12156
2022,2022,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,224,252,192,0.87843,0.98823,0.75294
2023,2023,Tr Madrean Encinal,0,237,0,0,0.92941,0
2024,2024,Tr Madrean Lower Montane Pine-Oak Forest and Woodland,0,237,0,0,0.92941,0
2025,2025,Tr Madrean Pinyon-Juniper Woodland,121,255,94,0.47451,1,0.36862
2026,2026,Tr Madrean Upper Montane Conifer-Oak Forest and Woodland,0,237,0,0,0.92941,0
2027,2027,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,0,222,0,0,0.87058,0
2028,2028,Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland,0,204,0,0,0.8,0
2029,2029,Tr Mediterranean California Mixed Oak Woodland,0,189,0,0,0.74117,0
2030,2030,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,0,189,0,0,0.74117,0
2031,2031,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,0,173,0,0,0.67843,0
2032,2032,Tr Mediterranean California Red Fir Forest,0,158,0,0,0.6196,0
2033,2033,Tr Mediterranean California Subalpine Woodland,0,145,0,0,0.56862,0
2034,2034,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,224,252,192,0.87843,0.98823,0.75294
2035,2035,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,0,130,0,0,0.5098,0
2036,2036,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,0,117,0,0,0.45882,0
2037,2037,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,0,105,0,0,0.41176,0
2038,2038,Tr North Pacific Maritime Mesic Subalpine Parkland,0,92,0,0,0.36078,0
2039,2039,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,0,105,0,0,0.41176,0
2040,2040,Tr Alaskan Pacific Mesic Western Hemlock-Yellow-cedar Forest,0,82,0,0,0.321569,0
2041,2041,Tr North Pacific Mountain Hemlock Forest,0,92,0,0,0.36078,0
2042,2042,Tr North Pacific Mesic Western Hemlock-Silver Fir Forest,0,71,0,0,0.27843,0
2043,2043,Tr Mediterranean California Mixed Evergreen Forest,0,61,0,0,0.23921,0
2044,2044,Tr Northern California Mesic Subalpine Woodland,0,92,0,0,0.36078,0
2045,2045,Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,0,51,0,0,0.2,0
2046,2046,Tr Northern Rocky Mountain Subalpine Woodland and Parkland,191,255,233,0.74902,1,0.91372
2047,2047,Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,96,255,71,0.37647,1,0.27843
2048,2048,Tr Northwestern Great Plains Highland White Spruce Woodland,182,250,227,0.71372,0.98039,0.89019
2049,2049,Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland,174,245,224,0.68235,0.96078,0.87843
2050,2050,Tr Rocky Mountain Lodgepole Pine Forest,163,240,219,0.63921,0.94117,0.85882
2051,2051,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,0,51,0,0,0.2,0
2052,2052,Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,0,204,0,0,0.8,0
2053,2053,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,214,255,181,0.83921,1,0.7098
2054,2054,Tr Southern Rocky Mountain Ponderosa Pine Woodland,214,255,181,0.83921,1,0.7098
